,iters, ids, wins, newrecord, p1, p2, p3, p4, p5, p6, p7, p8
2227,498,2,191,1,303.45268,715.170434,65.545642,102.194983,723.0245150000001,325.793051,17.430975,90.055815
2234,499,4,85,1,257.934778,679.411913,64.234729,85.843786,824.247947,368.14614700000004,19.174073,99.961954
2239,500,4,110,1,296.624995,645.441317,70.015855,71.250342,873.7028240000001,379.19053199999996,18.023628,103.960432
2243,501,3,19,1,287.726245,561.533946,75.61712299999999,77.662873,847.491739,432.277206,19.105045999999998,112.277267
2245,502,0,89,1,287.726245,561.533946,75.61712299999999,77.662873,847.491739,432.277206,19.105045999999998,112.277267
2254,503,4,161,1,304.989819,544.687927,65.786897,69.896586,1000.0,397.69503,16.621389999999998,98.803995
2258,504,3,73,1,350.738292,533.794169,77.628539,71.993484,1000.0,433.48758200000003,18.283529,90.899675
2262,505,2,163,1,294.62016600000004,576.497702,79.95739499999999,62.634331,1000.0,359.794693,18.832035,105.443624
2268,506,3,112,1,288.727762,536.142863,71.961656,71.403137,1000.0,302.22754199999997,20.150277,94.899261
2270,507,0,208,1,288.727762,536.142863,71.961656,71.403137,1000.0,302.22754199999997,20.150277,94.899261
2278,508,3,99,1,311.825983,557.588578,82.755904,74.25926199999999,1000.0,317.338919,17.127736,89.20530500000001
2280,509,0,66,1,311.825983,557.588578,82.755904,74.25926199999999,1000.0,317.338919,17.127736,89.20530500000001
2287,510,2,42,1,215.15992799999998,825.231095,72.825195,67.575929,1000.0,371.286536,25.349049,71.364244
2293,511,3,120,1,243.130719,833.483406,80.107715,58.79105799999999,1000.0,360.14794,26.10952,62.800534999999996
2296,512,1,196,1,223.680262,766.8047339999999,78.505561,54.087773,960.0,356.54646,23.237473,74.732637
2300,513,0,153,1,223.680262,766.8047339999999,78.505561,54.087773,960.0,356.54646,23.237473,74.732637
2305,514,0,97,1,223.680262,766.8047339999999,78.505561,54.087773,960.0,356.54646,23.237473,74.732637
2312,515,2,113,1,216.969854,881.825444,86.356117,49.219874,940.8,324.457279,20.216601,76.227289
2316,516,1,127,1,303.75779500000004,634.9143190000001,66.49421,58.57165,639.744,369.881298,21.631764,78.514108
2324,517,4,72,1,294.645061,622.216033,74.473515,57.985932999999996,671.7312,440.158744,18.819634,83.22495500000001
2326,518,1,78,1,315.270216,684.437636,62.557753000000005,69.003261,785.925504,453.363507,17.690456,87.386202
2330,519,0,60,1,315.270216,684.437636,62.557753000000005,69.003261,785.925504,453.363507,17.690456,87.386202
2337,520,2,114,1,324.72832200000005,574.927614,57.553132,77.973685,652.318168,539.5025730000001,17.690456,83.016892
2340,521,0,276,1,324.72832200000005,574.927614,57.553132,77.973685,652.318168,539.5025730000001,17.690456,83.016892
2345,522,0,118,1,324.72832200000005,574.927614,57.553132,77.973685,652.318168,539.5025730000001,17.690456,83.016892
2354,523,4,48,1,360.448438,580.6768910000001,65.610571,67.837106,717.549985,609.637908,18.044265,81.356554
2357,524,2,46,1,468.58296900000005,673.585193,47.895717,93.615206,602.741988,694.987215,26.885955,82.17012
2364,525,4,154,1,407.667183,754.415416,47.41676,77.700621,554.522629,597.689005,25.541657999999998,96.13904000000001
2365,526,0,117,1,407.667183,754.415416,47.41676,77.700621,554.522629,597.689005,25.541657999999998,96.13904000000001
2374,527,4,160,1,391.360496,641.253104,46.468424,87.801701,537.88695,615.619675,22.221242,99.984602
